experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
SE,FT,Data Analyst,112000,North America,0,North America,M
SE,FT,Data Analyst,75000,North America,0,North America,M
SE,FT,Engineer,156975,North America,0,North America,M
SE,FT,Software Engineer,216429,North America,0,North America,M
MI,FT,Data Engineer,110200,North America,0,North America,M
SE,FT,Machine Learning Engineer,168000,North America,100,North America,M
SE,FT,Data Scientist,181500,North America,100,North America,M
MI,FT,Data Scientist,117000,North America,0,North America,M
MI,FT,Software Engineer,239000,North America,0,North America,M
SE,FT,Manager,201000,North America,0,North America,M
SE,FT,Data Analyst,113800,North America,100,North America,M
SE,FT,Software Engineer,166600,North America,0,North America,M
MI,FT,Machine Learning Engineer,266000,North America,0,North America,M
MI,FT,Software Engineer,64000,North America,0,North America,M
SE,FT,Data Scientist,259700,North America,100,North America,M
SE,FT,Machine Learning Engineer,215050,North America,0,North America,M
SE,FT,Data Analyst,130000,North America,100,North America,M
MI,FT,Data Scientist,107000,North America,0,North America,M
SE,FT,Data Analyst,114888,North America,100,North America,M
SE,FT,Research Scientist,144000,North America,0,North America,M
SE,FT,Data Scientist,97100,North America,0,North America,M
MI,FT,Machine Learning Engineer,60000,Europe,100,Europe,L
SE,FT,Software Engineer,127000,North America,0,North America,M
MI,FT,Software Engineer,142000,North America,0,North America,M
MI,FT,Data Analyst,81650,North America,0,North America,M
SE,FT,Software Engineer,240000,North America,100,North America,M
SE,FT,Engineer,100000,Europe,0,Europe,M
SE,FT,Engineer,94200,North America,0,North America,M
MI,FT,Data Scientist,127950,North America,0,North America,M
MI,FT,Data Analyst,154500,North America,100,North America,M
MI,FT,Software Engineer,102000,North America,100,North America,M
SE,FT,Data Scientist,163700,North America,0,North America,M
SE,FT,Research Scientist,252000,North America,0,North America,M
SE,FT,Data Analyst,198700,North America,100,North America,M
SE,FT,Data Analyst,70000,North America,100,North America,M
MI,FT,Manager,320000,North America,0,North America,M
SE,FT,Data Analyst,62691,North America,0,North America,M
EN,FT,Engineer,108000,North America,0,North America,M
MI,FT,Machine Learning Engineer,180000,North America,0,North America,M
SE,FT,Data Engineer,77000,North America,100,North America,M
SE,FT,Manager,240000,North America,0,North America,M
SE,FT,Manager,211000,North America,0,North America,M
SE,FT,Machine Learning Engineer,277200,North America,0,North America,M
MI,FT,Software Engineer,153000,North America,0,North America,M
EN,FT,Data Scientist,97500,North America,0,North America,L
MI,FT,Software Engineer,58888,Europe,0,Europe,M
SE,FT,Machine Learning Engineer,96800,North America,0,North America,M
SE,FT,Data Scientist,170700,North America,0,North America,M
EN,FT,Data Analyst,76218,North America,0,North America,M
MI,FT,Data Scientist,111600,North America,0,North America,L
SE,FT,Data Architect,155615,North America,0,North America,M
SE,FT,Data Architect,115000,North America,0,North America,M
SE,FT,Data Engineer,117000,North America,0,North America,M
MI,FT,Data Engineer,41400,North America,0,North America,M
SE,CT,Engineer,150000,North America,0,North America,M
SE,FT,Data Scientist,107730,North America,0,North America,M
SE,FT,Software Engineer,170805,North America,0,North America,M
EN,FT,Analyst,87000,North America,0,North America,M
EN,FT,Data Analyst,60000,North America,100,North America,M
EN,FT,Engineer,56250,Europe,0,Europe,M
SE,FT,Data Scientist,107000,North America,100,North America,M
SE,FT,Manager,95000,North America,0,North America,M
SE,FT,Data Analyst,79653,Europe,100,Europe,M
SE,FT,Data Scientist,70000,North America,0,North America,M
SE,FT,Data Engineer,132000,North America,0,North America,M
SE,FT,Research Scientist,170000,North America,0,North America,M
MI,FT,Manager,71160,North America,0,North America,M
SE,FT,Engineer,153075,North America,0,North America,M
SE,FT,Data Analyst,75000,North America,0,North America,M
SE,FT,Engineer,145000,North America,0,North America,M
EN,FT,Data Analyst,86800,North America,100,North America,M
EN,FT,Software Engineer,104000,North America,0,North America,M
MI,FT,Data Scientist,230600,North America,0,North America,M
EN,FT,Data Analyst,88500,North America,100,North America,M
SE,FT,Data Engineer,105000,North America,0,North America,M
SE,FT,Data Engineer,196000,North America,0,North America,M
MI,FT,Engineer,85000,North America,100,North America,M
SE,FT,Data Scientist,175059,North America,100,North America,M
EN,FT,Data Analyst,93000,North America,0,North America,M
EN,FT,Data Analyst,183000,North America,0,North America,M
SE,FT,Data Architect,118880,North America,0,North America,M
SE,FT,Data Scientist,164000,North America,100,North America,M
EN,FT,Machine Learning Engineer,168000,North America,0,North America,M
EX,FT,Data Engineer,85000,North America,0,North America,M
SE,FT,Data Engineer,139100,North America,0,North America,L
MI,FT,Data Scientist,214127,North America,0,North America,M
SE,FT,Analyst,78000,North America,0,North America,M
SE,FT,Data Architect,149925,North America,0,North America,M
SE,FT,Software Engineer,334800,North America,0,North America,M
SE,FT,Machine Learning Engineer,207800,North America,0,North America,M
SE,FT,Data Scientist,132500,North America,0,North America,M
SE,FT,Software Engineer,177100,North America,0,North America,M
SE,FT,Machine Learning Engineer,300000,North America,0,North America,M
SE,FT,Research Scientist,74263,North America,0,North America,M
SE,FT,Data Architect,116200,North America,0,North America,M
MI,FT,Manager,67000,North America,0,North America,M
MI,FT,Engineer,94400,North America,0,North America,M
SE,FT,Data Scientist,255000,North America,0,North America,M
MI,FT,Software Engineer,300200,North America,0,North America,M
SE,FT,Data Scientist,199000,North America,0,North America,M
MI,FT,Software Engineer,175000,North America,100,North America,M
SE,FT,Engineer,187094,North America,0,North America,M
MI,FT,Engineer,151400,North America,0,North America,L
SE,FT,Machine Learning Engineer,186941,North America,0,North America,M
SE,FT,Data Scientist,92500,North America,0,North America,M
SE,FT,Software Engineer,206000,North America,100,North America,M
SE,FT,Analyst,110000,North America,0,North America,M
