experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
MI,FT,Data Scientist,111740,North America,0,North America,M
SE,FT,Data Scientist,115000,North America,100,North America,M
SE,FT,Machine Learning Engineer,112000,North America,0,North America,M
SE,FT,Machine Learning Engineer,194000,North America,100,North America,M
SE,FT,Data Scientist,187000,North America,0,North America,M
SE,FT,Data Scientist,210000,North America,0,North America,M
MI,FT,Data Scientist,75600,North America,0,North America,M
EN,FT,Machine Learning Engineer,237500,North America,0,North America,M
SE,FT,Data Scientist,199700,North America,0,North America,M
SE,FT,Data Engineer,236250,North America,0,North America,M
MI,FT,Data Engineer,265080,North America,0,North America,M
EN,FT,Data Analyst,122000,North America,0,North America,M
SE,FT,Data Analyst,192500,North America,100,North America,M
SE,FT,Data Engineer,149600,North America,0,North America,M
SE,FT,Machine Learning Engineer,175800,North America,0,North America,M
MI,FT,Machine Learning Engineer,93333,Europe,100,Europe,M
SE,FT,Research Scientist,240240,North America,0,North America,M
SE,FT,Manager,228000,North America,0,North America,M
SE,FT,Data Scientist,136000,North America,0,North America,M
MI,FT,Research Scientist,160000,North America,0,North America,M
EX,FT,Engineer,150000,North America,0,North America,M
SE,FT,Engineer,198000,North America,0,North America,M
MI,FT,Machine Learning Engineer,112000,North America,0,North America,M
EN,FT,Analyst,76250,North America,0,North America,M
SE,FT,Software Engineer,225600,North America,0,North America,M
EN,FT,Analyst,50000,North America,0,North America,M
SE,FT,Engineer,140000,North America,100,North America,M
EN,FT,Data Analyst,77000,North America,0,North America,M
MI,FT,Data Engineer,80000,North America,0,North America,M
SE,FT,Data Scientist,86000,North America,0,North America,M
SE,FT,Software Engineer,155650,North America,100,North America,M
MI,FT,Data Scientist,144660,North America,100,North America,M
MI,FT,Machine Learning Engineer,168000,North America,0,North America,M
MI,FT,Software Engineer,208800,North America,0,North America,M
SE,FT,Machine Learning Engineer,150000,North America,0,North America,M
MI,FT,Data Analyst,143800,North America,100,North America,M
MI,FT,Data Engineer,159250,North America,0,North America,M
EX,FT,Data Engineer,292500,North America,100,North America,M
MI,FT,Data Scientist,275000,North America,0,North America,M
MI,FT,Software Engineer,225000,North America,0,North America,M
SE,FT,Data Scientist,192000,North America,0,North America,M
MI,FT,Data Scientist,240000,North America,0,North America,M
MI,FT,Manager,166000,North America,0,North America,M
SE,FT,Data Scientist,289400,North America,100,North America,M
MI,FT,Data Scientist,172000,North America,0,North America,M
EN,FT,Data Analyst,45625,Europe,0,Europe,M
SE,FT,Software Engineer,276000,North America,0,North America,M
SE,FT,Research Scientist,200000,North America,100,North America,M
MI,FT,Data Engineer,138000,North America,0,North America,M
SE,FT,Engineer,180000,North America,0,North America,M
SE,FT,Research Scientist,250800,North America,0,North America,M
SE,FT,Data Engineer,144000,North America,0,North America,M
SE,FT,Data Scientist,180000,North America,0,North America,M
EN,FT,Data Analyst,50000,North America,0,North America,M
MI,FT,Software Engineer,210000,North America,0,North America,M
SE,FT,Data Engineer,167900,North America,0,North America,M
MI,FT,Software Engineer,136800,North America,0,North America,M
SE,FT,Machine Learning Engineer,135400,North America,0,North America,M
MI,FT,Data Analyst,70000,Europe,0,Europe,M
SE,FT,Data Architect,93838,North America,0,North America,M
SE,FT,Data Scientist,82600,North America,100,North America,M
SE,FT,Data Engineer,100192,North America,0,North America,M
EX,FT,Data Engineer,167000,North America,0,North America,M
SE,FT,Manager,305000,North America,0,North America,M
MI,FT,Data Engineer,106000,North America,0,North America,M
SE,FT,Data Architect,117000,North America,0,North America,M
SE,FT,Engineer,148000,North America,100,North America,M
SE,FT,Data Scientist,220000,North America,0,North America,M
EN,FT,Analyst,62548,Europe,0,Europe,M
EN,FT,Data Engineer,74100,North America,0,North America,M
SE,FT,Data Engineer,58200,South America,100,South America,M
SE,FT,Machine Learning Engineer,209800,North America,0,North America,M
SE,FT,Data Engineer,184920,North America,0,North America,M
SE,FT,Data Engineer,143706,North America,100,North America,M
SE,FT,Data Scientist,167537,North America,0,North America,M
SE,FT,Data Analyst,155000,North America,0,North America,M
SE,FT,Software Engineer,168000,North America,0,North America,M
EN,FT,Machine Learning Engineer,90000,North America,0,North America,M
SE,FT,Data Analyst,92900,North America,0,North America,M
SE,FT,Data Scientist,293800,North America,0,North America,M
SE,FT,Data Scientist,250200,North America,0,North America,M
MI,FT,Data Analyst,95000,Asia,0,Asia,M
SE,FT,Manager,100000,North America,0,North America,M
SE,FT,Engineer,124000,North America,0,North America,M
EN,FT,Data Analyst,100000,North America,0,North America,M
MI,FT,Data Engineer,208800,North America,0,North America,M
SE,FT,Data Scientist,209720,North America,0,North America,M
MI,FT,Research Scientist,208000,North America,0,North America,M
SE,FT,Data Engineer,100000,North America,0,North America,M
SE,FT,Software Engineer,112000,North America,0,North America,M
MI,FT,Data Scientist,75000,North America,0,North America,M
SE,FT,Data Analyst,108500,North America,100,North America,M
SE,FT,Machine Learning Engineer,100000,North America,0,North America,M
MI,FT,Software Engineer,188100,North America,0,North America,M
SE,FT,Software Engineer,337000,North America,0,North America,M
SE,FT,Manager,148000,North America,0,North America,M
SE,FT,Data Scientist,96600,North America,0,North America,M
SE,FT,Software Engineer,150000,North America,100,North America,M
SE,FT,Data Analyst,142320,North America,0,North America,M
MI,FT,Data Scientist,115000,North America,100,North America,M
SE,FT,Data Engineer,270250,North America,0,North America,M
SE,FT,Engineer,195500,North America,0,North America,M
SE,FT,Data Analyst,136500,North America,100,North America,M
SE,FT,Data Scientist,110600,North America,0,North America,M
SE,FT,Data Analyst,112300,North America,0,North America,M
MI,FT,Data Scientist,100000,North America,0,North America,M
SE,FT,Data Engineer,174000,North America,100,North America,M
SE,FT,Data Scientist,183552,North America,0,North America,M
SE,FT,Data Engineer,170040,North America,0,North America,M
SE,FT,Data Scientist,92300,North America,0,North America,M
SE,FT,Data Scientist,157000,North America,0,North America,M
EX,FT,Software Engineer,157500,North America,0,North America,M
SE,FT,Data Engineer,190300,North America,0,North America,M
SE,FT,Data Scientist,240000,North America,0,North America,M
SE,FT,Data Engineer,180000,North America,0,North America,M
MI,FT,Data Scientist,187000,North America,0,North America,M
SE,FT,Data Engineer,138400,North America,100,North America,M
SE,FT,Data Scientist,150000,North America,0,North America,M
SE,FT,Machine Learning Engineer,136800,North America,0,North America,M
SE,FT,Data Engineer,85000,North America,0,North America,M
SE,FT,Data Engineer,87283,North America,0,North America,L
SE,FT,Data Architect,220000,North America,0,North America,M
SE,FT,Machine Learning Engineer,168300,North America,0,North America,M
SE,FT,Machine Learning Engineer,190000,North America,0,North America,M
EN,FT,Data Scientist,26000,Europe,100,Europe,L
EN,FT,Data Analyst,69400,North America,100,North America,M
MI,FT,Engineer,75600,North America,0,North America,M
SE,FT,Machine Learning Engineer,333300,North America,0,North America,M
MI,FT,Software Engineer,140000,North America,0,North America,M
SE,FT,Data Engineer,245500,North America,0,North America,M
SE,FT,Machine Learning Engineer,102900,Europe,100,Europe,M
SE,FT,Machine Learning Engineer,229900,North America,0,North America,M
SE,FT,Software Engineer,161175,North America,0,North America,M
EN,FT,Data Analyst,78000,North America,0,North America,M
EN,FT,Data Analyst,46000,North America,0,North America,M
SE,FT,Data Engineer,265200,North America,0,North America,M
MI,FT,Data Engineer,123000,North America,0,North America,M
SE,FT,Data Scientist,300200,North America,0,North America,M
MI,FT,Machine Learning Engineer,264200,North America,0,North America,M
SE,FT,Data Engineer,130000,North America,0,North America,M
MI,FT,Software Engineer,98300,North America,0,North America,M
MI,FT,Machine Learning Engineer,96600,North America,0,North America,M
SE,FT,Software Engineer,148000,North America,0,North America,M
SE,FT,Manager,172000,North America,0,North America,M
MI,FT,Data Scientist,212780,North America,0,North America,M
SE,FT,Research Scientist,200200,North America,0,North America,M
MI,FT,Data Scientist,95100,North America,100,North America,M
SE,FT,Data Analyst,64625,Europe,0,Europe,M
SE,FT,Data Engineer,165100,North America,0,North America,M
SE,FT,Research Scientist,294700,North America,0,North America,L
SE,FT,Machine Learning Engineer,151300,North America,0,North America,L
SE,FT,Manager,282200,North America,0,North America,M
SE,FT,Software Engineer,250200,North America,0,North America,M
MI,FT,Software Engineer,135283,North America,0,North America,M
SE,FT,Data Engineer,299792,North America,0,North America,M
EX,FT,Data Scientist,145500,North America,100,North America,M
SE,FT,Data Engineer,140000,North America,0,North America,M
EN,FT,Data Analyst,97500,North America,0,North America,M
SE,FT,Data Scientist,267600,North America,0,North America,M
MI,FT,Data Scientist,130000,North America,0,North America,M
SE,FT,Software Engineer,314400,North America,0,North America,M
SE,FT,Data Architect,193000,North America,0,North America,M
SE,FT,Manager,118000,North America,0,North America,M
SE,FT,Engineer,140600,North America,0,North America,M
SE,FT,Software Engineer,140000,North America,0,North America,M
EN,FT,Data Analyst,70000,North America,0,North America,M
SE,FT,Data Engineer,191180,North America,0,North America,M
SE,FT,Data Scientist,269750,North America,0,North America,M
SE,FT,Software Engineer,240000,North America,0,North America,M
SE,FT,Machine Learning Engineer,97335,North America,0,North America,M
SE,FT,Data Engineer,85000,North America,0,North America,M
SE,FT,Data Scientist,126800,North America,100,North America,M
MI,FT,Data Engineer,124600,North America,100,North America,M
EN,FT,Data Analyst,98700,North America,0,North America,M
EN,FT,Data Analyst,166000,North America,0,North America,M
SE,FT,Data Engineer,110000,North America,0,North America,M
SE,FT,Data Analyst,120000,North America,0,North America,M
MI,FT,Software Engineer,270000,North America,0,North America,M
SE,FT,Machine Learning Engineer,166250,Europe,100,Europe,M
SE,FT,Data Engineer,155000,North America,100,North America,M
SE,FT,Data Engineer,127000,North America,0,North America,M
SE,FT,Engineer,225000,North America,100,North America,M
MI,FT,Data Scientist,156500,North America,0,North America,M
MI,FT,Data Analyst,140000,North America,100,North America,M
MI,FT,Machine Learning Engineer,145000,North America,0,North America,M
SE,FT,Data Engineer,212109,North America,0,North America,M
SE,FT,Data Engineer,103000,North America,0,North America,M
SE,FT,Analyst,212160,North America,0,North America,M
SE,FT,Data Scientist,158000,North America,0,North America,M
SE,FT,Data Analyst,102795,North America,0,North America,M
SE,FT,Software Engineer,253000,North America,100,North America,M
SE,FT,Data Engineer,141500,North America,100,North America,M
MI,FT,Data Engineer,47000,North America,0,North America,M
SE,FT,Data Analyst,116300,North America,100,North America,M
SE,FT,Data Engineer,212000,North America,0,North America,M
SE,FT,Software Engineer,290180,North America,0,North America,M
SE,FT,Data Scientist,120700,North America,0,North America,M
SE,FT,Data Analyst,55800,North America,0,North America,M
SE,FT,Analyst,157000,North America,100,North America,M
SE,FT,Data Engineer,123900,North America,0,North America,M
MI,FT,Data Scientist,209720,North America,0,North America,M
SE,FT,Data Scientist,211000,North America,0,North America,M
SE,FT,Data Scientist,174117,North America,0,North America,M
MI,FT,Data Scientist,168888,North America,0,North America,M
MI,FT,Engineer,120000,North America,0,North America,M
SE,FT,Software Engineer,155904,North America,0,North America,M
MI,FT,Data Engineer,300200,North America,0,North America,M
EX,FT,Data Engineer,120000,North America,0,North America,M
SE,FT,Data Scientist,180000,North America,100,North America,M
SE,FT,Data Architect,170000,North America,0,North America,M
MI,FT,Data Engineer,43750,Europe,0,Europe,M
MI,FT,Machine Learning Engineer,223100,North America,0,North America,M
SE,FT,Data Analyst,137000,North America,0,North America,M
SE,FT,Data Scientist,160000,North America,100,North America,M
EX,FT,Analyst,70080,North America,0,North America,M
SE,FT,Data Scientist,133200,North America,0,North America,M
EN,FT,Data Analyst,150000,North America,0,North America,M
SE,FT,Machine Learning Engineer,166666,Europe,100,Europe,M
MI,FT,Software Engineer,160000,North America,100,North America,M
SE,FT,Engineer,200000,North America,100,North America,M
SE,FT,Data Analyst,102880,Europe,0,Europe,M
MI,FT,Data Engineer,116000,North America,100,North America,M
MI,FT,Data Engineer,125365,Europe,0,Europe,M
SE,FT,Data Engineer,155000,North America,0,North America,M
SE,FT,Research Scientist,123765,North America,100,North America,M
EN,FT,Data Analyst,154500,North America,100,North America,M
SE,FT,Data Engineer,96000,North America,100,North America,M
SE,FT,Engineer,185000,North America,0,North America,M
MI,FT,Research Scientist,195200,North America,0,North America,L
SE,FT,Data Analyst,170000,North America,100,North America,M
MI,PT,Data Scientist,122328,North America,100,North America,M
SE,FT,Data Engineer,84500,North America,100,North America,M
MI,FT,Manager,128000,North America,0,North America,M
MI,FT,Data Engineer,56250,Europe,100,Europe,M
SE,FT,Software Engineer,223500,North America,0,North America,M
SE,FT,Software Engineer,217000,North America,0,North America,M
SE,FT,Data Scientist,200000,North America,0,North America,M
MI,FT,Data Scientist,120000,North America,0,North America,M
SE,FT,Data Architect,70000,North America,0,North America,M
SE,FT,Software Engineer,191100,North America,0,North America,M
SE,FT,Data Scientist,115000,North America,0,North America,M
MI,FT,Data Scientist,160000,North America,0,North America,M
SE,FT,Engineer,177900,North America,0,North America,M
MI,FT,Data Scientist,242000,North America,0,North America,M
MI,FT,Engineer,200200,North America,0,North America,M
MI,FT,Machine Learning Engineer,252000,North America,0,North America,M
SE,FT,Engineer,104000,North America,0,North America,M
MI,FT,Data Engineer,75600,North America,0,North America,M
SE,FT,Manager,120500,North America,0,North America,M
SE,FT,Data Engineer,200000,North America,0,North America,M
MI,FT,Data Engineer,175000,North America,0,North America,M
SE,FT,Data Architect,270000,North America,0,North America,M
SE,FT,Data Scientist,234000,North America,0,North America,M
SE,FT,Data Analyst,159000,North America,0,North America,M
SE,FT,Data Scientist,123810,North America,0,North America,M
MI,FT,Data Engineer,153500,North America,100,North America,M
SE,FT,Software Engineer,224000,North America,0,North America,M
MI,FT,Software Engineer,136000,North America,0,North America,M
SE,FT,Machine Learning Engineer,187040,North America,0,North America,M
MI,FT,Manager,240000,North America,0,North America,M
SE,FT,Research Scientist,345000,North America,0,North America,M
EN,FT,Data Engineer,37500,Europe,0,Europe,M
SE,FT,Research Scientist,160000,North America,0,North America,M
SE,FT,Engineer,137500,Europe,0,Europe,M
EN,FT,Data Analyst,96000,North America,0,North America,M
SE,FT,Engineer,125760,North America,0,North America,M
MI,FT,Data Scientist,198300,North America,0,North America,M
SE,FT,Engineer,165000,North America,0,North America,M
SE,FT,Engineer,198072,North America,0,North America,M
SE,FT,Engineer,215055,North America,0,North America,M
MI,FT,Engineer,210000,North America,100,North America,M
SE,FT,Software Engineer,126500,North America,0,North America,M
SE,FT,Data Engineer,117300,North America,0,North America,M
SE,FT,Software Engineer,222000,North America,0,North America,M
MI,FT,Software Engineer,170023,North America,0,North America,M
MI,FT,Data Scientist,140000,North America,0,North America,M
MI,FT,Machine Learning Engineer,200000,North America,0,North America,M
SE,FT,Machine Learning Engineer,261500,North America,0,North America,L
MI,FT,Machine Learning Engineer,131000,North America,100,North America,M
EN,FT,Data Analyst,123000,North America,0,North America,M
MI,FT,Data Analyst,95000,North America,0,North America,M
MI,FT,Data Engineer,184000,North America,0,North America,M
SE,FT,Engineer,101400,North America,0,North America,M
MI,FT,Data Scientist,178300,North America,0,North America,M
SE,FT,Software Engineer,102300,North America,0,North America,M
MI,FT,Data Engineer,140900,North America,100,North America,M
SE,FT,Data Analyst,138240,North America,100,North America,M
SE,FT,Data Engineer,206000,North America,0,North America,M
SE,FT,Data Scientist,125000,North America,100,North America,M
SE,FT,Data Scientist,152000,North America,0,North America,M
SE,FT,Data Analyst,128539,North America,0,North America,M
SE,FT,Software Engineer,219236,North America,0,North America,M
MI,FT,Software Engineer,127000,North America,0,North America,M
MI,FT,Data Scientist,180000,North America,0,North America,M
MI,FT,Data Engineer,65000,North America,0,North America,M
MI,FT,Data Engineer,168700,North America,0,North America,M
SE,FT,Data Architect,82500,Europe,0,Europe,M
MI,FT,Data Scientist,115400,North America,0,North America,M
SE,FT,Manager,219000,North America,100,North America,M
SE,FT,Data Architect,232284,North America,0,North America,M
MI,FT,Software Engineer,245000,North America,0,North America,M
SE,FT,Machine Learning Engineer,300200,North America,0,North America,M
SE,FT,Machine Learning Engineer,240000,North America,0,North America,M
SE,FT,Data Analyst,117725,North America,100,North America,M
MI,FT,Software Engineer,177008,North America,0,North America,M
SE,FT,Data Analyst,144000,North America,0,North America,M
SE,FT,Data Analyst,110000,South America,100,South America,M
SE,FT,Data Engineer,90000,North America,0,North America,M
SE,FT,Software Engineer,175800,North America,0,North America,M
MI,FT,Engineer,117000,North America,0,North America,M
MI,FT,Data Scientist,105000,North America,0,North America,M
SE,FT,Software Engineer,198000,North America,0,North America,M
MI,FT,Data Scientist,209720,North America,100,North America,M
MI,FT,Software Engineer,264200,North America,0,North America,M
EX,FT,Data Engineer,244000,North America,100,North America,M
SE,FT,Software Engineer,105000,North America,0,North America,M
MI,FT,Data Scientist,167537,North America,0,North America,M
SE,FT,Machine Learning Engineer,256500,North America,0,North America,M
MI,FT,Data Scientist,180393,North America,0,North America,M
MI,FT,Machine Learning Engineer,118200,North America,0,North America,L
MI,FT,Data Scientist,144200,North America,0,North America,M
SE,FT,Manager,264000,North America,100,North America,M
SE,FT,Data Analyst,136000,North America,0,North America,M
EN,FT,Data Analyst,118750,North America,0,North America,M
MI,FT,Machine Learning Engineer,97000,North America,0,North America,M
MI,FT,Research Scientist,99200,North America,100,North America,M
SE,FT,Software Engineer,160000,North America,100,North America,M
MI,FT,Data Engineer,68750,Europe,100,Europe,M
MI,FT,Manager,140000,North America,0,North America,M
MI,FT,Research Scientist,251000,North America,0,North America,M
SE,FT,Software Engineer,206700,North America,100,North America,M
MI,FT,Data Analyst,86940,North America,0,North America,M
MI,FT,Data Engineer,162000,North America,100,North America,M
SE,FT,Research Scientist,210255,North America,0,North America,M
EN,FT,Software Engineer,64000,North America,0,North America,M
SE,FT,Software Engineer,175600,North America,0,North America,M
SE,FT,Engineer,300000,North America,0,North America,M
SE,FT,Software Engineer,160000,North America,0,North America,M
MI,FT,Research Scientist,123200,North America,100,North America,M
MI,FT,Manager,81500,North America,0,North America,M
SE,FT,Machine Learning Engineer,237500,North America,0,North America,M
MI,FT,Data Engineer,165000,North America,100,North America,M
SE,FT,Research Scientist,158000,North America,0,North America,M
SE,FT,Machine Learning Engineer,135000,North America,100,North America,M
SE,FT,Engineer,249600,North America,0,North America,M
SE,FT,Research Scientist,180000,North America,0,North America,M
SE,FT,Data Engineer,75600,North America,0,North America,M
SE,FT,Data Analyst,137600,North America,0,North America,M
MI,FT,Manager,115000,North America,0,North America,M
SE,FT,Machine Learning Engineer,267900,North America,0,North America,M
SE,FT,Engineer,215000,North America,0,North America,M
SE,FT,Manager,190000,North America,0,North America,M
SE,FT,Software Engineer,212000,North America,100,North America,M
SE,FT,Data Engineer,320850,North America,0,North America,M
EN,FT,Analyst,31250,North America,0,North America,M
SE,FT,Data Scientist,210788,North America,100,North America,M
MI,FT,Manager,110000,North America,0,North America,M
EN,FT,Data Analyst,97000,North America,0,North America,M
EN,FT,Data Analyst,100000,North America,100,North America,M
MI,FT,Data Analyst,107968,North America,100,North America,M
EX,FT,Software Engineer,200700,North America,0,North America,M
MI,FT,Data Scientist,151770,North America,0,North America,M
SE,FT,Software Engineer,74800,North America,0,North America,M
SE,FT,Data Analyst,206500,North America,0,North America,M
MI,FT,Machine Learning Engineer,170700,North America,0,North America,M
EN,FT,Analyst,92800,North America,100,North America,M
MI,FT,Research Scientist,195500,North America,100,North America,M
SE,FT,Data Engineer,282200,North America,0,North America,M
SE,FT,Data Architect,86600,North America,0,North America,M
SE,FT,Engineer,205000,North America,0,North America,M
SE,FT,Data Scientist,266000,North America,0,North America,M
SE,FT,Software Engineer,170700,North America,0,North America,M
MI,FT,Data Scientist,107766,North America,0,North America,M
SE,FT,Machine Learning Engineer,189000,North America,0,North America,M
SE,FT,Machine Learning Engineer,285000,North America,0,North America,M
MI,FT,Data Engineer,30000,Europe,100,Europe,M
SE,FT,Software Engineer,101400,North America,0,North America,M
SE,FT,Data Scientist,146600,North America,0,North America,M
MI,FT,Data Scientist,150000,North America,0,North America,M
SE,FT,Software Engineer,257500,North America,0,North America,M
SE,FT,Data Engineer,150000,North America,100,North America,M
SE,FT,Data Scientist,130000,North America,100,North America,M
SE,FT,Software Engineer,104000,North America,0,North America,M
SE,FT,Machine Learning Engineer,250900,North America,0,North America,M
SE,FT,Data Analyst,85000,North America,0,North America,M
SE,FT,Data Engineer,167500,North America,0,North America,M
EX,FT,Analyst,132500,North America,0,North America,M
SE,FT,Research Scientist,100000,Europe,0,Europe,S
SE,FT,Data Engineer,69333,Europe,0,Europe,M
SE,FT,Software Engineer,146232,North America,100,North America,M
SE,FT,Research Scientist,266000,North America,0,North America,M
MI,FT,Engineer,120000,North America,100,North America,M
MI,FT,Data Scientist,78750,Europe,50,Europe,L
SE,FT,Data Scientist,184000,North America,0,North America,M
SE,FT,Engineer,207750,North America,0,North America,M
MI,FT,Data Analyst,75100,North America,0,North America,M
MI,FT,Manager,85000,North America,100,North America,M
SE,FT,Data Scientist,109400,North America,0,North America,M
SE,FT,Analyst,105000,North America,0,North America,M
SE,FT,Data Engineer,231000,North America,100,North America,M
MI,FT,Machine Learning Engineer,140000,North America,0,North America,M
MI,FT,Data Scientist,179000,North America,0,North America,M
SE,FT,Data Scientist,126200,North America,100,North America,M
SE,FT,Data Analyst,153000,North America,0,North America,M
SE,FT,Software Engineer,339250,North America,0,North America,M
MI,FT,Manager,152400,North America,100,North America,M
SE,FT,Engineer,120000,North America,100,North America,M
MI,FT,Manager,251600,North America,0,North America,M
SE,FT,Data Scientist,187038,North America,0,North America,M
SE,FT,Software Engineer,248400,North America,0,North America,M
SE,FT,Data Engineer,160000,North America,0,North America,M
SE,FT,Data Engineer,172200,North America,100,North America,M
SE,FT,Data Engineer,156000,North America,0,North America,M
EX,FT,Engineer,170000,North America,0,North America,M
SE,FT,Data Scientist,138000,North America,0,North America,M
MI,FT,Data Engineer,73900,North America,0,North America,M
MI,FT,Data Engineer,234000,North America,0,North America,M
MI,FT,Data Engineer,58500,North America,0,North America,M
SE,FT,Software Engineer,305000,North America,0,North America,M
SE,FT,Data Analyst,167200,North America,0,North America,M
MI,FT,Software Engineer,125000,North America,0,North America,M
SE,FT,Data Scientist,265200,North America,0,North America,M
MI,FT,Manager,192840,North America,0,North America,M
MI,FT,Machine Learning Engineer,204300,North America,0,North America,L
SE,FT,Data Analyst,92036,North America,100,North America,M
MI,FT,Data Scientist,149000,North America,100,North America,M
SE,FT,Software Engineer,235200,North America,0,North America,M
EN,FT,Data Analyst,64000,North America,0,North America,M
SE,FT,Data Analyst,100000,North America,0,North America,M
SE,FT,Software Engineer,215000,North America,0,North America,M
SE,FT,Data Analyst,25000,North America,100,North America,M
MI,FT,Data Scientist,96600,North America,0,North America,M
SE,FT,Software Engineer,209660,North America,0,North America,M
MI,FT,Software Engineer,208000,North America,0,North America,M
SE,FT,Data Architect,238000,North America,100,North America,M
EN,FT,Machine Learning Engineer,170000,North America,0,North America,M
MI,FT,Software Engineer,180000,North America,0,North America,M
MI,FT,Machine Learning Engineer,137750,North America,0,North America,M
SE,FT,Engineer,200200,North America,100,North America,M
SE,FT,Machine Learning Engineer,251250,North America,0,North America,M
MI,FT,Software Engineer,83600,North America,0,North America,M
SE,FT,Analyst,150000,North America,100,North America,M
SE,FT,Machine Learning Engineer,126800,North America,0,North America,M
MI,FT,Data Scientist,208800,North America,0,North America,M
SE,FT,Data Architect,157500,North America,0,North America,M
SE,FT,Data Scientist,185800,North America,100,North America,M
MI,FT,Data Scientist,162000,North America,0,North America,M
SE,FT,Software Engineer,252000,North America,0,North America,M
SE,FT,Data Engineer,136100,North America,0,North America,M
SE,FT,Software Engineer,283800,North America,0,North America,M
SE,FT,Data Engineer,294000,North America,0,North America,M
SE,FT,Machine Learning Engineer,184300,North America,0,North America,M
SE,FT,Software Engineer,258000,North America,0,North America,M
SE,FT,Data Scientist,56250,Europe,100,Europe,M
SE,FT,Data Engineer,117200,North America,0,North America,M
SE,FT,Data Analyst,106250,North America,0,North America,M
SE,FT,Data Analyst,160000,North America,0,North America,M
SE,FT,Data Engineer,288400,North America,0,North America,M
SE,FT,Data Analyst,187982,North America,0,North America,M
SE,FT,Machine Learning Engineer,160000,North America,0,North America,M
EN,FT,Analyst,80000,North America,0,North America,M
SE,FT,Research Scientist,213000,North America,0,North America,M
EN,FT,Software Engineer,153600,North America,0,North America,M
EN,FT,Data Scientist,208800,North America,0,North America,M
SE,FT,Data Scientist,145300,North America,100,North America,M
MI,FT,Manager,225000,North America,0,North America,M
SE,FT,Data Analyst,122500,North America,100,North America,M
SE,FT,Software Engineer,185500,North America,100,North America,M
EN,FT,Analyst,85000,North America,0,North America,M
MI,FT,Data Engineer,64890,North America,0,North America,M
SE,FT,Data Scientist,126600,North America,0,North America,M
SE,FT,Software Engineer,209700,North America,0,North America,M
SE,FT,Data Engineer,242250,North America,100,North America,M
SE,FT,Data Scientist,144000,North America,0,North America,M
EN,FT,Data Analyst,190000,North America,0,North America,M
MI,FT,Data Scientist,220000,North America,0,North America,M
SE,FT,Data Scientist,178418,North America,0,North America,M
SE,FT,Research Scientist,278700,North America,0,North America,M
SE,FT,Data Engineer,188000,North America,100,North America,M
MI,FT,Data Scientist,152000,North America,0,North America,M
SE,FT,Software Engineer,257000,North America,0,North America,M
SE,FT,Data Scientist,31250,Europe,0,Europe,M
SE,FT,Data Scientist,110000,North America,100,North America,M
SE,FT,Data Engineer,220000,North America,0,North America,M
SE,FT,Data Scientist,128250,North America,0,North America,M
SE,FT,Data Scientist,207900,North America,0,North America,M
SE,FT,Software Engineer,185000,North America,0,North America,M
EN,FT,Data Scientist,122900,North America,0,North America,M
SE,FT,Data Engineer,277500,North America,0,North America,M
SE,FT,Data Scientist,332000,North America,0,North America,M
EN,FT,Data Analyst,95000,North America,100,North America,M
SE,FT,Software Engineer,104200,North America,0,North America,M
MI,FT,Data Engineer,174000,North America,100,North America,M
SE,FT,Software Engineer,244000,North America,0,North America,M
MI,FT,Data Scientist,110000,North America,0,North America,M
MI,FT,Data Engineer,243300,North America,0,North America,M
SE,FT,Data Analyst,200000,North America,0,North America,M
SE,FT,Data Scientist,210000,North America,100,North America,M
MI,FT,Data Engineer,142500,North America,0,North America,M
SE,FT,Data Scientist,90900,North America,100,North America,M
MI,FT,Data Engineer,179000,North America,0,North America,M
SE,FT,Manager,66000,North America,100,North America,M
SE,FT,Data Scientist,112000,North America,0,North America,M
MI,FT,Research Scientist,177000,North America,0,North America,M
MI,FT,Software Engineer,137000,North America,0,North America,M
SE,FT,Software Engineer,230000,North America,100,North America,M
SE,FT,Research Scientist,150000,North America,0,North America,M
SE,FT,Data Scientist,331292,North America,0,North America,M
SE,FT,Data Analyst,172000,North America,0,North America,M
SE,FT,Data Architect,179000,North America,0,North America,M
MI,FT,Data Analyst,96649,Oceania,0,Oceania,M
SE,FT,Data Engineer,75000,Europe,0,Europe,M
SE,FT,Data Engineer,190000,North America,0,North America,M
SE,FT,Data Analyst,59018,Europe,0,Europe,M
SE,FT,Engineer,245000,North America,0,North America,M
SE,FT,Data Analyst,102092,North America,100,North America,M
MI,FT,Data Scientist,165000,North America,100,North America,M
MI,FT,Data Engineer,124550,North America,0,North America,M
MI,FT,Data Engineer,81500,North America,0,North America,M
EX,FT,Data Scientist,260000,North America,50,North America,L
MI,FT,Data Engineer,126000,North America,0,North America,M
SE,FT,Data Analyst,69400,North America,0,North America,M
SE,FT,Data Analyst,101844,North America,0,North America,M
SE,FT,Research Scientist,179562,North America,0,North America,M
MI,FT,Data Scientist,72100,North America,0,North America,M
EN,FT,Data Scientist,113300,North America,0,North America,M
SE,FT,Machine Learning Engineer,315000,North America,100,North America,M
SE,FT,Data Scientist,165000,North America,100,North America,M
SE,FT,Software Engineer,78900,North America,0,North America,M
MI,FT,Data Engineer,67800,North America,0,North America,M
MI,FT,Data Engineer,210100,North America,0,North America,M
MI,FT,Machine Learning Engineer,256500,North America,0,North America,M
EN,FT,Data Scientist,98300,North America,0,North America,M
